"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"158516264382025NS023224";"158516264382024NE003028";"33903205";"MERCADORIAS PARA DOACAO";"0,00";"0,00";"0,00";"0,00"
"158636264212025NS000904";"158636264212025NE000024";"33904001";"LOCACAO DE EQUIPAMENTOS DE TIC - ATIVOS DE REDE";"1540,00";"0,00";"0,00";"0,00"
"158636264212025NS000904";"158636264212025NE000024";"33904013";"COMUNICACAO DE DADOS E REDES EM GERAL";"1995,00";"0,00";"0,00";"0,00"
"158884264062025NS000689";"158884264062025NE000017";"33903903";"COMISSOES E CORRETAGENS";"2675,59";"0,00";"0,00";"0,00"
"170600000012025NS001426";"170600000012025NE000110";"46907701";"REFINANCIAMENTO DO PRINCIPAL - DIV.CONTRATUAL";"1882896,70";"0,00";"0,00";"0,00"
"170600000012025NS001427";"170600000012025NE000111";"32902101";"JUROS DA DIVIDA CONTRATUAL";"1703847,37";"0,00";"0,00";"0,00"
"193113192112025NS002162";"193113192112024NE700010";"33903979";"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"194047192082025NS002691";"194047192082024NE000089";"33903944";"SERVICOS DE AGUA, ESGOTO E RESIDUOS SOLIDOS";"0,00";"0,00";"0,00";"0,00"
"195006112012025NS009277";"195006112012021NE440559";"44905191";"OBRAS EM ANDAMENTO";"0,00";"0,00";"0,00";"0,00"
"200350000012025NS016463";"200350000012024NE000645";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"200386000012025NS004799";"200386000012025NE000041";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"4008,41";"0,00";"0,00";"0,00"
"200386000012025NS004799";"200386000012024NE000161";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
