entidade;ano_orcamentario;natureza;qtd_pendentes
MUNICÍPIO DE BRAGANÇA PAULISTA;2026;ALIMENTARES;11
MUNICÍPIO DE BRAGANÇA PAULISTA;2026;OUTRAS ESPECIES;14
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2018;ALIMENTARES;2
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2018;OUTRAS ESPECIES;29
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2019;ALIMENTARES;11
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2019;OUTRAS ESPECIES;30
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2020;ALIMENTARES;19
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2020;OUTRAS ESPECIES;49
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2021;ALIMENTARES;23
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2021;OUTRAS ESPECIES;79
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2022;ALIMENTARES;43
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2022;OUTRAS ESPECIES;115
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2023;ALIMENTARES;37
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2023;OUTRAS ESPECIES;55
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2024;ALIMENTARES;45
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2024;OUTRAS ESPECIES;77
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2025;ALIMENTARES;119
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2025;OUTRAS ESPECIES;74
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2026;ALIMENTARES;34
MUNICÍPIO DE GUARULHOS E AUTARQUIAS;2026;OUTRAS ESPECIES;35
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2018;ALIMENTARES;28
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2018;OUTRAS ESPECIES;60
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2019;ALIMENTARES;31
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2019;OUTRAS ESPECIES;45
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2020;ALIMENTARES;32
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2020;OUTRAS ESPECIES;65
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2021;ALIMENTARES;44
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2021;OUTRAS ESPECIES;71
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2022;ALIMENTARES;44
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2022;OUTRAS ESPECIES;38
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2023;ALIMENTARES;18
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2023;OUTRAS ESPECIES;27
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2024;ALIMENTARES;48
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2024;OUTRAS ESPECIES;47
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2025;ALIMENTARES;63
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2025;OUTRAS ESPECIES;39
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2026;ALIMENTARES;35
MUNICÍPIO DE SANTO ANDRÉ, FUNDAÇÕES E AUTARQUIAS;2026;OUTRAS ESPECIES;27
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2018;ALIMENTARES;1
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2019;OUTRAS ESPECIES;10
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2020;ALIMENTARES;34
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2020;OUTRAS ESPECIES;37
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2021;ALIMENTARES;97
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2021;OUTRAS ESPECIES;25
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2022;ALIMENTARES;89
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2022;OUTRAS ESPECIES;74
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2023;ALIMENTARES;53
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2023;OUTRAS ESPECIES;46
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2024;ALIMENTARES;52
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2024;OUTRAS ESPECIES;47
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2025;ALIMENTARES;71
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2025;OUTRAS ESPECIES;41
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2026;ALIMENTARES;21
MUNICÍPIO DE SÃO VICENTE E AUTARQUIAS;2026;OUTRAS ESPECIES;26
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2018;ALIMENTARES;541
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2018;OUTRAS ESPECIES;109
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2019;ALIMENTARES;809
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2019;OUTRAS ESPECIES;98
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2020;ALIMENTARES;4061
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2020;OUTRAS ESPECIES;182
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2021;ALIMENTARES;4215
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2021;OUTRAS ESPECIES;219
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2022;ALIMENTARES;4715
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2022;OUTRAS ESPECIES;316
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2023;ALIMENTARES;4026
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2023;OUTRAS ESPECIES;240
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2024;ALIMENTARES;10276
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2024;OUTRAS ESPECIES;345
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2025;ALIMENTARES;18775
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2025;OUTRAS ESPECIES;566
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2026;ALIMENTARES;16887
MUNICÍPIO DE SÃO PAULO, AUTARQUIAS E FUNDAÇÕES;2026;OUTRAS ESPECIES;498
