ano_orcamento,tipo_entidade,entidade,qtd_processos,valor_alimentar,valor_desapropriacao,valor_outras,valor_total,status_pagamento,data_publicacao_moc,codigo_comunicado,codigo_filefetch,fonte,fonte_url
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE BOTUCATU,39,516770.73,459103.00,1869527.75,2845401.48,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE BRAGANÇA PAULISTA,10,178138.84,1871616.38,1314296.84,3364052.06,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE BRAÚNA,1,0.00,0.00,17577.03,17577.03,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE BRODOWSKI,27,652589.68,1356509.85,2177461.25,4186560.78,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE BROTAS,1,132371.15,0.00,0.00,132371.15,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE BURI,11,1004619.50,0.00,0.00,1004619.50,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE BURITAMA,2,96521.59,0.00,11906.02,108427.61,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE BURITIZAL,2,67829.00,0.00,1153078.23,1220907.23,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CABRÁLIA PAULISTA,9,78809.90,403002.01,198005.85,679817.76,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAÇAPAVA,9,95445.57,25962.16,167732.43,289140.16,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
