UO_Cadastradora_Codigo,UO_Cadastradora_Nome,UO_Devedora_Codigo,UO_Devedora_Nome,Ano,Precatorio,Tipo_Causa,Valor_RS,conciliacao_status,conciliacao_tipo,cnj_processo_execucao,cnj_processo_originario,cnj_candidato,match_metodo,cnpj_entidade_devedora,causa_provavel,tribunal_cobertura,siop_chave,siop_tribunal,siop_data_ajuizamento,siop_data_autuacao,siop_tipo_despesa,siop_tributario,siop_natureza_despesa,siop_valor_original,siop_valor_atualizado,siop_fundef,siop_anos_decorridos,siop_class_tempo,siop_class_nfgc,siop_faixa_valor,siop_match_status
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1544328620254010000,REINTEGRAÇÃO - REGIME - SERVIDOR PÚBLICO MILITAR - ADMINISTRATIVO,1779476,NAO_IDENTIFICADO,PENDENTE,,,0154432-86.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_3.8%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1540872320254010000,Reintegração - Regime Estatutário - Servidor Público Civil - Administrativo,1778721,NAO_IDENTIFICADO,PENDENTE,,,0154087-23.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_3.7%
12102,TRF - 1a. Região,26271,Fund. Univ. de Brasília,2026,920903920254019000,Edital - Licitações e Contratos - Administrativo,1777205,NAO_IDENTIFICADO,PENDENTE,,,0092090-39.2025.4.01.9198,,,Entidade nao mapeada para extracao TRF1,NAO_TESTADO,,,,,,,,,,,,,,,SEM_MATCH_VALOR_3_cand
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,920895420254019000,EXCLUSÃO DE ICMS - BASE DE CÁLCULO - CRÉDITO TRIBUTÁRIO,1775289,NAO_IDENTIFICADO,PENDENTE,,,0092089-54.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_3.5%
12103,TRF - 2a. Região,26269,Fund. Univ. do Rio de Janeiro,2026,50084287720254000000,Prestação de serviços,1774328,NAO_IDENTIFICADO,PENDENTE,,,5008428-77.2025.4.00.9198,,,Entidade nao mapeada para extracao TRF1,NAO_TESTADO,,,,,,,,,,,,,,,SEM_MATCH_VALOR_5_cand
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,5931770720244010000,Redução de Alíquota IR/CSLL - Serviços Hospitalares,1770191,NAO_IDENTIFICADO,PENDENTE,,,0593177-07.2024.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_3.3%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1543323420254010000,FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS - ENTIDADES,1758450,NAO_IDENTIFICADO,PENDENTE,,,0154332-34.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_2.6%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1540855320254010000,Reintegração - Regime Estatutário - Servidor Público Civil - Administrativo,1756712,NAO_IDENTIFICADO,PENDENTE,,,0154085-53.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_2.5%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1544310420254010000,REINTEGRAÇÃO - REGIME - SERVIDOR PÚBLICO MILITAR - ADMINISTRATIVO,1755746,NAO_IDENTIFICADO,PENDENTE,,,0154431-04.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_2.5%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1543314920254010000,FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS - ENTIDADES,1749657,NAO_IDENTIFICADO,PENDENTE,,,0154331-49.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_2.1%
