"Id Empenho";"Código Empenho";"Código Empenho Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Tipo Empenho";"Espécie Empenho";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Esfera Orçamentária";"Esfera Orçamentária";"Código Tipo Crédito";"Tipo Crédito";"Código Grupo Fonte Recurso";"Grupo Fonte Recurso";"Código Fonte Recurso";"Fonte Recurso";"Código Unidade Orçamentária";"Unidade Orçamentária";"Código Função";"Função";"Código SubFunção";"SubFunção";"Código Programa";"Programa";"Código Ação";"Ação";"Linguagem Cidadã";"Código Subtítulo (Localizador)";"Subtítulo (Localizador)";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo";"Autor Emenda";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Processo";"Modalidade de Licitação";"Inciso";"Amparo";"Referência de Dispensa ou Inexigibilidade";"Código Convênio";"Contrato de Repasse / Termo de Parceria / Outros";"Valor Original do Empenho";"Valor do Empenho Convertido pra R$";"Valor Utilizado na Conversão"
"564539108";"160259000012025NE000269";"2025NE000269";"01/06/2025";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160259";"1 GRUPO DE ARTILHARIA ANTIAEREA";"00001";"TESOURO NACIONAL";"17932562000176";"DORAMEL LTDA";"AQUISICAO DE MATERIAL PERMANENTE PARA O RANCHO DESTA OM CONFORME REQ 23/2025 - 2025NC406943- ND449052-SI28-UGG 160147 - PE 90.001/2025";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52121";"COMANDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"";"212B0001";"BENEFICIOS OBRIGATORIOS AOS SERVIDORE - NACIONAL";"0006";"ALIMENTACAO DE MILITARES ATIVOS EM RANCHO";"00";"Sem informação";"SEM EMENDA";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Aplicações Diretas";"52";"Equipamentos e Material Permanente";"64537.003495/2025-10";"Pregão";"I";"LEI 14.133/2021";"-2";"-1";"NAO SE APLICA";"2209,04";"2209,04";"1,0000"
"564532658";"160259000012025NE000273";"2025NE000273";"01/06/2025";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160259";"1 GRUPO DE ARTILHARIA ANTIAEREA";"00001";"TESOURO NACIONAL";"21559804000103";"GERBRA COMERCIO LTDA";"AQUISICAO DE MATERIAL PERMANENTE PARA O RANCHO DESTA OM CONFORME REQ 23/2025 - 2025NC406943- ND449052-SI12-UGG 160147 - PE 90.001/2025";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52121";"COMANDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"";"212B0001";"BENEFICIOS OBRIGATORIOS AOS SERVIDORE - NACIONAL";"0006";"ALIMENTACAO DE MILITARES ATIVOS EM RANCHO";"00";"Sem informação";"SEM EMENDA";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Aplicações Diretas";"52";"Equipamentos e Material Permanente";"64537.003496/2025-64";"Pregão";"I";"LEI 14.133/2021";"-2";"-1";"NAO SE APLICA";"708,00";"708,00";"1,0000"
"564490611";"114702114012025NE400139";"2025NE400139";"01/06/2025";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"46000";"Ministério da Gestão e da Inovação em Ser";"20202";"Fundação Escola Nacional de Administração";"114702";"FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"11401";"FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"EX1140127";"FRANCISCO JAVIER VELAZQUEZ LOPEZ";"SERVICOS DE CONFERENCISTA E PALESTRANTE EM EVENTOS DE CAPACITACAO PARA O ENCONTRO NACIONAL DE GESTAO DE PESSOAS E CURSO DE FORMACAO DE ESPECIALISTA EM POLITICAS PUBLICAS E GESTAO GOVERNAMENTAL (EPPGG). CARGA HORARIA: 8 HORAS.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"0";"Codigo Inexistente No Siafi";"00";"RECURSOS ORDINARIOS";"46201";"FUNDACAO ESCOLA NACIONAL DE ADM.PUBLICA-ENAP";"04";"Administração";"573";"Difusão do conhecimento científico e tecnológico";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"20U9";"DESENVOLVIMENTO DE COMPETENCIAS DE AGENTES PUBLICOS";"";"20U90001";"DESENVOLVIMENTO DE COMPETENCIAS DE AG - NACIONAL";"0001";"DESENVOLVIMENTO GERENCIAL DA ADMINISTRACAO PUBLICA";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"36";"Outros Serviços de Terceiros - Pessoa Físic";"04600.003531/2025-11";"Inexigível";"III";"LEI 14.133/2021";"-2";"-1";"NAO SE APLICA";"12000,00";"12000,00";"1,0000"
"564541974";"765720000012025NE002411";"2025NE002411";"01/06/2025";"NE";"Nota de Empenho";"Global";"Não se aplica";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"765720";"HOSPITAL NAVAL MARCILIO DIAS";"00001";"TESOURO NACIONAL";"52969017000155";"TARGET MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA";"262 - DIVISAO DE MEDICAMENTOS?SOLEMP: 65720-2609/2025?PREGAO: 90055/2024?UASG: 771300?ATENCAO FORNECEDOR:?VENCIMENTO DA NOTA DE EMPENHO: 4 MESES A CONTAR DA NOTA DE EMISSAO?DESTACAR OS IMPOSTOS E VALORES NO CORPO DA NOTA FISCAL CONFORME A SEGUIR:?IR: ... CSLL: ... COFINS: ... PIS: ... ?FUNDAMENTO LEGAL DAS RETENCOES E?INFORMAR OS DADOS BANCARIOS NO CORPO DA NOTA FISCAL";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"0";"Codigo Inexistente No Siafi";"00";"RECURSOS ORDINARIOS";"52131";"COMANDO DA MARINHA";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0003";"ASSISTENCIA MEDICA E ODONTOLOGICA DE MILITARES - COMPLEMENTACAO DA UNIAO";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"30";"Material de Consumo";"6334200025222463";"Pregão";"I";"LEI 14.133/2021";"-2";"-1";"NAO SE APLICA";"24973,00";"24973,00";"1,0000"
"564578447";"400066000012025NE000011";"2025NE000011";"01/06/2025";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"40000";"Ministério do Trabalho e Emprego";"40000";"Ministério do Trabalho e Emprego - Unidades ";"400066";"SUPERINTENDENCIA REGIONAL DO TRABALHO/ES";"00001";"TESOURO NACIONAL";"***.917.417-**";"PAULO JOSE DO NASCIMENTO";"SUPRIMENTO DE FUNDOS DA ADMINISTRACAO DESTINADOS A COMPRAS DE PEQUENO VULTO, COM EMPRESAS DE PRESTACAO DE SERVICO?PERIODO DE APLICACAO: 01|06 A 29|08|25, PRESTACAO DE CONTAS ATE 29|08|25.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"40101";"MINISTERIO DO TRABALHO E EMPREGO";"11";"Trabalho";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"4815";"FUNCIONAMENTO DAS UNIDADES DESCENTRALIZADAS";"";"48150001";"FUNCIONAMENTO DAS UNIDADES DESCENTRAL - NACIONAL";"0000";"FUNCIONAMENTO DAS UNIDADES DESCENTRALIZADAS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"13040201475202553";"Suprimento de Fundo";"II";"DECRETO 93.872 / 1986";"-2";"-1";"NAO SE APLICA";"2000,00";"2000,00";"1,0000"
"564466696";"158464264182025NE000093";"2025NE000093";"01/06/2025";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"26000";"Ministério da Educação";"26418";"Instituto Federal de Educação, Ciência e T";"158464";"IFPE - CAMPUS RECIFE";"26418";"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO";"10835932000108";"COMPANHIA ENERGETICA DE PERNAMBUCO";"ATENDER DESPESA COM TAXA DE ILUMINACAO PUBLICA COBRADA NA CONTA DE ENERGIA ELETRICA FORNECIDA AO IFPE - CAMPUS RECIFE NO EXERCICIO DE 2025, ADEQUANDO A LEI DE LICITACAO Nº 14.133, EM SUBSTITUICAO AO 2025NE000047, CONFORME PROC. 23295.022057/2024-10. IN. 35/2024.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"26418";"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO";"12";"Educação";"363";"Ensino profissional";"5112";"EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RL";"FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"PRONATEC";"20RL0026";"FUNCIONAMENTO DAS INSTITUICOES DA RED - NO ESTADO DE PERNAMB";"0000";"FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"47";"Obrigações Tributárias e Contributivas";"23295.022057/2024-10";"Inexigível";"I";"LEI 14.133/2021";"-2";"-1";"NAO SE APLICA";"212,20";"212,20";"1,0000"
